pre_left_L,pre_left_a,pre_left_b,pre_right_L,pre_right_a,pre_right_b,post_left_0_L,post_left_0_a,post_left_0_b,post_left_1_L,post_left_1_a,post_left_1_b,post_right_0_L,post_right_0_a,post_right_0_b,post_right_1_L,post_right_1_a,post_right_1_b
24,13,0,8,31,0,16,31,0,19,4,36,42,21,0,41,11,60
27,21,0,3,8,0,17,21,0,23,0,29,39,26,0,42,0,36
20,22,0,1,6,0,11,16,0,24,0,45,27,17,0,28,0,24
19,6,0,4,0,0,18,27,0,22,0,45,34,46,0,39,0,29
26,0,0,7,0,0,19,17,0,17,0,61,42,39,0,38,0,5
6,0,0,11,0,0,10,15,0,23,0,14,27,57,0,28,0,3
17,0,0,8,0,0,17,12,0,32,0,3,26,75,0,26,0,0
8,0,0,8,0,0,7,18,0,15,0,0,8,55,0,19,0,0
5,0,0,7,0,0,8,21,0,10,0,0,11,50,0,13,0,0
5,0,0,6,0,0,16,36,0,7,0,0,16,55,0,8,0,0
7,0,0,4,0,0,15,36,0,11,0,0,15,50,0,14,0,0
7,0,0,8,0,0,16,26,0,10,0,0,18,45,0,6,0,0
8,0,0,7,0,0,8,43,0,6,0,0,11,27,0,8,0,0
7,0,0,9,0,0,14,26,0,1,0,0,16,24,0,2,0,0
14,0,0,12,0,0,9,27,0,3,0,0,6,20,0,1,0,0
16,0,0,11,0,0,11,13,0,0,0,0,10,3,0,1,0,0
9,0,0,15,0,0,7,7,0,1,0,0,14,0,0,1,0,0
11,0,0,23,0,0,8,5,0,0,0,0,5,0,0,0,0,0
5,0,0,12,0,0,10,7,0,0,0,0,16,0,0,1,0,0
9,0,0,22,0,0,5,6,0,1,0,0,2,0,0,0,0,0
13,0,0,29,0,0,10,7,0,0,0,0,10,0,0,0,0,0
7,0,0,25,0,0,12,1,0,0,0,0,9,0,0,0,0,0
6,0,0,33,0,0,10,0,0,0,0,0,6,0,0,1,0,0
2,0,0,25,0,0,11,0,0,0,0,0,11,0,0,0,0,0
8,0,0,38,0,0,10,0,0,1,0,0,15,0,0,0,0,0
7,0,0,33,0,0,5,0,0,0,0,0,5,0,0,0,0,0
11,0,0,54,0,0,10,0,0,0,0,0,10,0,0,0,0,0
1,0,0,34,0,0,15,0,0,0,0,0,17,0,0,0,0,0
2,0,0,53,0,0,6,0,0,0,0,0,8,0,0,0,0,0
20,0,0,39,0,0,6,0,0,0,0,0,6,0,0,0,0,0
1,0,0,32,0,0,7,0,0,0,0,0,6,0,0,0,0,0
1,0,0,30,0,0,5,0,0,0,0,0,8,0,0,0,0,0
1,0,0,44,0,0,6,0,0,0,0,0,9,0,0,0,0,0
0,0,0,38,0,0,4,0,0,0,0,0,3,0,0,0,0,0
0,0,0,21,0,0,3,0,0,0,0,0,4,0,0,0,0,0
0,0,0,19,0,0,1,0,0,0,0,0,2,0,0,0,0,0
1,0,0,8,0,0,3,0,0,0,0,0,3,0,0,0,0,0
0,0,0,13,0,0,5,0,0,0,0,0,7,0,0,0,0,0
0,0,0,6,0,0,4,0,0,0,0,0,3,0,0,0,0,0
0,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0
0,0,0,8,0,0,4,0,0,0,0,0,2,0,0,0,0,0
0,0,0,5,0,0,3,0,0,0,0,0,2,0,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
